idx	X	Y
0	15391.16185980632	252.0024453759691
1	15947.30754149181	230.0323921326582
2	15913.25520090309	230.3841443625535
3	15561.81389414921	233.8399769397967
4	15562.62966062337	233.8331399946902
5	15564.91917199064	233.8113826182547
6	15561.80958589834	233.8398977935336
7	15535.48937082128	234.063142451699
8	15535.66422302997	234.0619493216643
9	15513.95015476662	234.2665870583068
10	15532.62747938412	234.107527935359
11	15515.42057643882	234.2570893152994
12	15513.89140006118	234.2669632273885
13	15480.17404652837	234.5788466055904
14	15484.29073596719	234.5446599089593
15	15480.16091433197	234.5798292707692
16	15480.18845536238	234.5796108055519
17	15462.32246369945	234.7569493843481
18	15463.4459585575	234.747327476489
19	15461.45004624579	234.766357801741
20	15461.40305080165	234.7666337969548
21	15437.50821327935	234.9580384318654
22	15437.41509430879	234.9587376488543
23	15417.2863578053	235.1148895662717
24	15437.52312240331	234.9599895932627
25	15416.77773761061	235.1291888938121
26	15417.21661232081	235.1156151768098
27	15407.24230524348	235.2020810342893
28	15407.29370349033	235.2016390198563
29	15397.89082942631	235.2877546759273
30	15407.28729948804	235.2017394369577
31	15397.42223722103	235.2952480640537
32	15397.38973238832	235.2957377498925
33	15389.08384124738	235.3885875331449
34	15389.50552205971	235.3856478819991
35	15387.33556656742	235.4185204722351
36	15389.12171828266	235.3883874165371
37	15370.80982232238	235.55122257358
38	15370.83941812033	235.5513768409907
39	15363.71724370857	235.5918961621759
40	15370.94828234323	235.5520888925412
41	15357.20788705528	235.6608652759722
42	15370.77143125666	235.5521159029323
43	15363.71779598303	235.5925757450002
44	15363.68552496714	235.5921751400504
45	15356.9855903067	235.6598937749282
46	15356.8279913073	235.6604666588372
47	15349.92416310625	235.721601071854
48	15349.92137965288	235.72185907634
49	15342.94983690969	235.785907712016
50	15349.92335549527	235.7222151684948
51	15342.79028368037	235.7883401564414
52	15342.94028721059	235.7861991858227
53	15339.87980868749	235.8127943702743
54	15339.8596462243	235.8128482018912
55	15327.91247486673	235.9311599713423
56	15327.80033859215	235.9318426223116
57	15323.9477462508	235.9789504286251
58	15328.09561497902	235.9310509151105
59	15324.06853219406	235.9807766419354
60	15323.95678522881	235.9788675190489
61	15311.889965897	236.1044105157818
62	15311.89891035136	236.1042689901261
63	15305.79247785643	236.1628316803071
64	15311.95607978448	236.1045518981509
65	15306.86427564223	236.1942026712437
66	15306.04859457242	236.1623541302215
67	15301.4285082418	236.1855441080062
68	15305.81272674495	236.1626612502698
69	15301.2797741743	236.1862693947085
70	15301.47336818732	236.1848250563507
71	15297.37771289215	236.2261134243909
72	15297.40692940062	236.2261917432322
73	15292.54746700832	236.2669684099337
74	15298.11571646613	236.2188705454585
75	15297.35725212094	236.229728295225
76	15297.33711446505	236.2288920132209
77	15292.60780485965	236.2664920240395
78	15292.49634157469	236.2673470846427
79	15288.0496459415	236.3170610252582
80	15288.04597055216	236.3170579064657
81	15284.18456463664	236.3491713291972
82	15288.14887342614	236.3192226291359
83	15284.63005283531	236.3540868523745
84	15284.17301904749	236.3494911279438
85	15269.1317258869	236.4811339983705
86	15269.15565355407	236.4807965332282
87	15258.50177774733	236.5799703834369
88	15258.52263217992	236.5803477732364
89	15254.66891155586	236.618053993277
90	15257.20817347865	236.5899604762245
91	15253.66534498219	236.6277518122967
92	15253.64565883117	236.6280979152802
93	15251.36218787685	236.7055418869267
94	15251.81128298091	236.7007432610119
95	15251.3662333879	236.7061974575762
96	15251.36240299546	236.7056766598723
97	15245.78506537501	236.7280764773816
98	15245.75222203913	236.7285994604836
99	15242.11795169845	236.7741165509747
100	15246.05653246608	236.7300992279729
101	15242.23721299474	236.7749317902721
102	15245.64815210204	236.7297297969463
103	15242.02346923743	236.7740491646223
104	15242.25878806819	236.7744836190923
